aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ1,Flatwing,0,-10,41000,0.7,0,1401.2054054842863,242,2740,41000,383.47092165993166,193.87433666549867
CJ1,Flatwing,0,0,41000,0.7,0,1409.3203519448675,244,2740,40097,383.3109041973081,194.39740230392817
CJ1,Flatwing,0,10,41000,0.7,0,1413.4526716716205,244,2740,39116,383.3892934511111,194.51537001578615
CJ1,Flatwing,0,20,41000,0.7,0,1418.2249312874296,244,2740,38146,383.43253668615915,194.57105565457107
CJ1,Flatwing,0,-10,41000,0.7,264,1369.7693418853473,238,2740,40552,382.78747628353426,196.69090400260217
CJ1,Flatwing,0,0,41000,0.7,264,1373.8930950090432,238,2740,39576,382.8492799723292,196.78147309322003
CJ1,Flatwing,0,10,41000,0.7,264,1378.3744160142844,238,2740,38598,382.9138670075901,196.88903396333308
CJ1,Flatwing,0,20,41000,0.7,264,1382.8640263644481,239,2740,37622,382.9740402960761,196.97806238216637
CJ1,Flatwing,0,-10,41000,0.7,528,1227.3963230502343,215,2492,40517,380.9953326116813,196.25573822085818
CJ1,Flatwing,0,0,41000,0.7,528,1231.8660349460192,216,2492,39540,381.05666269698725,196.34825404193276
CJ1,Flatwing,0,10,41000,0.7,528,1236.8433189625332,216,2492,38570,381.11101253884476,196.40936487032928
CJ1,Flatwing,0,20,41000,0.7,528,1241.3275369419528,216,2492,37593,381.17893156687154,196.50773626102225
CJ1,Flatwing,0,-10,41000,0.7,792,1079.638761637409,192,2228,40517,378.98569647317146,195.59319433751693
CJ1,Flatwing,0,0,41000,0.7,792,1083.7435057009145,192,2228,39540,379.0584908391378,195.68868222326148
CJ1,Flatwing,0,10,41000,0.7,792,1088.6257519377507,192,2228,38570,379.10915284413625,195.74799919937175
CJ1,Flatwing,0,20,41000,0.7,792,1093.0943772201595,193,2228,37593,379.1816580570156,195.8471160869321
CJ1,Flatwing,0,-10,41000,0.7,1056,931.8046399418552,168,1964,40517,376.8447650141569,194.90852427666027
CJ1,Flatwing,0,0,41000,0.7,1056,936.3256683465015,168,1964,39540,376.9225711727542,195.00472079091494
CJ1,Flatwing,0,10,41000,0.7,1056,941.2804087121663,169,1964,38570,376.98447741315795,195.06702755098078
CJ1,Flatwing,0,20,41000,0.7,1056,945.7262970724469,169,1964,37593,377.06196242840554,195.16692799958133
